timestamp,addr_count,phase
1753454301,2,monitoring
1753454301,2,monitoring
1753454302,2,monitoring
1753454302,2,monitoring
1753454303,2,monitoring
1753454303,2,monitoring
1753454304,2,monitoring
1753454304,2,monitoring
1753454305,2,monitoring
1753454305,2,monitoring
1753454306,2,monitoring
1753454306,2,monitoring
1753454307,2,monitoring
1753454307,2,monitoring
1753454308,2,monitoring
1753454308,2,monitoring
1753454309,2,monitoring
1753454309,2,monitoring
1753454310,2,monitoring
1753454310,2,monitoring
1753454311,2,monitoring
1753454311,2,monitoring
1753454312,2,monitoring
1753454312,2,monitoring
1753454313,2,monitoring
1753454313,2,monitoring
1753454314,2,monitoring
1753454314,2,monitoring
1753454315,2,monitoring
1753454315,2,monitoring
1753454316,2,monitoring
1753454316,2,monitoring
1753454317,2,monitoring
1753454317,2,monitoring
1753454318,2,monitoring
1753454318,2,monitoring
1753454319,2,monitoring
1753454319,2,monitoring
1753454320,2,monitoring
1753454320,2,monitoring
1753454321,2,monitoring
1753454321,2,monitoring
1753454322,2,monitoring
1753454322,2,monitoring
1753454323,2,monitoring
1753454323,2,monitoring
1753454324,2,monitoring
1753454324,2,monitoring
1753454325,2,monitoring
1753454325,2,monitoring
1753454326,2,monitoring
1753454326,2,monitoring
1753454327,2,monitoring
1753454327,2,monitoring
1753454328,2,monitoring
1753454328,2,monitoring
1753454329,2,monitoring
1753454329,2,monitoring
1753454330,2,monitoring
1753454330,2,monitoring
1753454331,2,monitoring
1753454331,2,monitoring
1753454332,2,monitoring
1753454332,2,monitoring
1753454333,2,monitoring
1753454333,2,monitoring
1753454334,2,monitoring
1753454334,2,monitoring
1753454335,2,monitoring
1753454335,2,monitoring
1753454336,2,monitoring
1753454336,2,monitoring
1753454337,2,monitoring
1753454337,2,monitoring
1753454338,2,monitoring
1753454339,2,monitoring
1753454339,2,monitoring
1753454340,2,monitoring
1753454340,2,monitoring
1753454341,2,monitoring
1753454341,2,monitoring
1753454342,2,monitoring
1753454342,2,monitoring
1753454343,2,monitoring
1753454343,2,monitoring
1753454344,2,monitoring
1753454344,2,monitoring
1753454345,2,monitoring
