timestamp,cpu_usage,memory_usage,network_packets,ipv6_addresses
1753862291.332,15.3,23.9,220,1
1753862291.647,8.6,24.1,220,1
1753862291.956,10.1,24.2,392,1
1753862292.269,12.2,24.2,392,1
1753862292.582,4.8,24.0,392,1
1753862292.894,3.2,23.9,572,1
1753862293.208,3.2,23.9,572,1
1753862293.518,7.4,23.9,572,1
1753862293.829,17.9,24.0,572,1
1753862294.142,18.4,24.0,682,4
1753862294.456,10.9,24.1,768,7
1753862294.767,4.3,24.1,854,11
1753862295.080,3.7,23.6,1370,14
1753862295.389,11.8,23.7,1628,18
1753862295.702,10.3,23.7,1714,21
1753862296.011,10.9,23.8,2230,25
1753862296.322,6.0,23.8,2402,28
1753862296.634,4.4,23.3,2832,34
1753862296.945,6.0,23.4,3262,37
1753862297.256,4.9,23.3,3606,41
1753862297.564,4.3,23.3,3864,45
1753862297.877,3.3,23.3,4208,48
1753862298.186,1.6,23.3,4552,53
1753862298.494,25.9,23.2,4982,57
1753862298.805,2.2,23.2,5326,60
1753862299.116,19.3,23.2,5498,63
1753862299.428,3.3,23.2,5842,66
1753862299.738,2.7,23.2,5928,70
1753862300.046,2.7,23.1,6358,73
1753862300.356,3.2,23.1,6788,75
1753862300.666,1.6,23.1,6874,79
1753862300.975,1.6,23.1,7304,81
1753862301.286,2.2,23.1,7562,86
1753862301.594,2.2,23.1,7906,89
1753862301.904,1.6,23.1,7992,93
1753862302.214,2.2,23.1,8164,97
1753862302.523,3.3,23.1,8680,100
1753862302.833,2.7,23.1,8938,103
1753862303.143,1.6,23.1,9368,107
1753862303.456,2.2,23.0,9626,111
1753862303.765,2.7,23.0,9884,114
1753862304.074,1.6,23.0,10142,118
1753862304.382,2.2,23.0,10486,121
1753862304.691,2.2,23.0,10658,124
1753862304.999,2.7,23.0,10916,128
1753862305.312,2.2,23.0,11260,132
1753862305.622,4.8,23.0,11862,136
1753862305.931,2.2,23.0,12034,139
1753862306.241,2.7,23.0,12292,143
1753862306.550,1.6,23.0,12636,145
1753862306.860,2.2,23.0,12722,148
1753862307.172,3.8,23.0,13152,151
1753862307.484,2.2,23.0,13668,155
1753862307.796,2.2,23.0,13668,160
1753862308.106,2.2,23.0,14012,163
1753862308.417,3.3,23.0,14442,166
1753862308.727,4.9,22.9,14700,170
1753862309.039,3.3,22.9,15130,173
1753862309.349,3.3,22.9,15474,176
1753862309.657,3.3,22.9,15732,179
1753862309.969,2.7,22.9,15818,183
1753862310.279,2.2,22.9,15904,186
1753862310.590,2.7,22.9,16334,190
1753862310.900,2.2,22.9,16764,194
1753862311.209,3.2,22.9,17108,198
1753862311.520,2.7,22.9,17452,202
1753862311.829,3.3,22.9,17796,205
1753862312.141,1.6,22.9,17796,209
1753862312.450,1.6,22.9,18140,211
1753862312.762,3.8,22.9,18484,215
1753862313.072,1.6,22.9,18914,219
1753862313.383,1.6,22.9,19172,222
1753862313.694,1.6,22.9,19430,225
1753862314.004,1.6,22.9,19860,228
1753862314.314,2.2,22.9,20204,233
1753862314.624,2.2,22.9,20290,236
1753862314.934,2.2,22.9,20634,240
1753862315.243,9.1,22.9,20892,244
1753862315.556,2.2,22.9,21322,247
1753862315.866,3.8,22.9,21666,249
1753862316.177,1.6,22.9,21752,253
1753862316.487,2.7,22.9,22096,256
1753862316.797,2.2,22.9,22612,261
1753862317.106,1.6,22.9,22870,265
1753862317.416,2.7,22.9,23128,269
1753862317.726,2.2,22.9,23558,272
1753862318.038,4.9,22.9,23730,275
1753862318.350,3.3,22.9,24160,279
1753862318.661,4.9,22.9,24418,282
1753862318.973,6.0,22.9,24676,285
1753862319.286,3.8,22.9,24762,289
1753862319.600,5.5,22.9,25020,292
1753862319.912,4.4,23.0,25278,295
1753862320.223,2.7,23.0,25708,299
1753862320.534,1.6,23.0,26052,302
1753862320.846,1.6,23.0,26482,306
1753862321.154,1.6,23.0,26654,309
1753862321.463,1.6,22.6,26998,313
1753862321.772,1.6,22.6,27256,317
1753862322.083,1.6,22.6,27514,320
1753862322.392,1.6,22.6,27944,324
1753862322.703,1.1,22.6,28116,326
1753862323.011,2.7,22.6,28288,331
1753862323.323,1.1,22.2,28804,332
1753862323.634,3.3,22.2,29062,332
1753862323.943,1.6,22.2,29148,332
1753862324.254,10.5,22.2,29148,332
1753862324.565,1.6,22.2,29148,332
1753862324.876,9.7,22.3,29148,332
1753862325.186,0.5,21.9,29148,332
1753862325.496,0.5,21.9,29148,332
1753862325.808,0.5,21.9,29148,332
